Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.32
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.33
-76	11	18	148	-3	9	11.33
-76	11	18	148	-3	9	11.33
-76	11	18	148	-3	9	11.33
-76	11	18	148	-3	9	11.33
-76	11	18	148	-3	9	11.33
-76	11	18	148	-3	9	11.33
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.35
-76	11	18	148	-3	9	11.35
-76	11	18	148	-3	9	11.35
-76	11	18	148	-3	9	11.35
-76	11	18	148	-3	9	11.35
-76	11	18	148	-3	9	11.35
-76	11	18	148	-3	9	11.35
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.50
-76	11	18	148	-3	9	11.58
-76	11	18	148	-3	9	11.58
-76	11	18	148	-3	9	11.57
-76	11	18	148	-3	9	11.57
-76	11	18	148	-3	9	11.57
-76	11	18	148	-3	9	11.57
-76	11	18	148	-3	9	11.57
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	149	-3	9	11.30
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.31
-76	11	18	148	-3	9	11.31
-76	11	18	149	-3	9	11.31
-76	11	18	149	-3	9	11.31
-76	11	18	149	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.49
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.60
-76	11	18	148	-3	9	11.60
-76	11	18	148	-3	9	11.61
-76	11	18	148	-3	9	11.61
-76	11	18	148	-3	9	11.60
-76	11	18	148	-3	9	11.60
-76	11	18	148	-3	9	11.61
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.55
-76	11	18	148	-3	9	11.55
-76	11	18	148	-3	9	11.55
-76	11	18	148	-3	9	11.55
-76	11	18	148	-3	9	11.55
-76	11	18	148	-3	9	11.55
-76	11	18	148	-3	9	11.55
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.38
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.30
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.29
-76	11	18	148	-3	9	11.37
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.40
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.39
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.36
-76	11	18	148	-3	9	11.36
-76	11	18	148	-3	9	11.36
-76	11	18	148	-3	9	11.36
-76	11	18	148	-3	9	11.36
-76	11	18	148	-3	9	11.36
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.41
-76	11	18	148	-3	9	11.42
-76	11	18	148	-3	9	11.42
-76	11	18	148	-3	9	11.42
-76	11	18	148	-3	9	11.42
-76	11	18	148	-3	9	11.43
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.48
-76	11	18	148	-3	9	11.51
-76	11	18	148	-3	9	11.51
-76	11	18	148	-3	9	11.51
-76	11	18	148	-3	9	11.51
-76	11	18	148	-3	9	11.51
-76	11	18	148	-3	9	11.51
-76	11	18	148	-3	9	11.51
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.53
-76	11	18	148	-3	9	11.52
-76	11	18	148	-3	9	11.54
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.45
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.47
-76	11	18	148	-3	9	11.46
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
-76	11	18	148	-3	9	11.44
